[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.713675
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.713675
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.678651
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.678651
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.680290
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.680290
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999995
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.654868
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.654868
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999982
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.573412
[2025-11-19 13:37:08] [WARNING] Function: loginWithFace(), Line: 223, Message: ❌ Not matched. Cosine = 0.573412
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.690508
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.690508
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.645408
